13.Kalutara~KALU/VIKKRAMASHILA VIDYAYATHANA PIRIVENA          ~BANDARAGAMA                                       ~~0382290753
13.Kalutara~KALU/SRI SARANATHISSA MULIKA PIRIVENA             ~SRI PURWARAMAYA, MORAGAHAHENA, MILLAWA.             ~~0342254506
13.Kalutara~KALU/SRI PAGNGNANANDA MULIKA PIRIVENA             ~SRI SAMBODARAMAYA , MANHANDIYA, KALAVILA, BERUWALA   ~~0342277752
13.Kalutara~KALU/VIDYASOMA MULIKA PIRIVENA                    ~SRI MAHA BODHI VIHARAYA , MORENTHUDUWA             ~~0382296013
13.Kalutara~KALU/VIJAYAGIRI MULIKA PIRIVENA                   ~KORALAIMA , GONAPOLA                               ~~0112704228
13.Kalutara~SRI DHAMMARATHANA MULIKA PIRIVENA                 ~KANDANHENA , HORANA                                ~~0342261269
13.Kalutara~KALU/ SRI DHAMMALOKA MULIKA PIRIVENA              ~RETIYALA, GOVINNA                                  ~~0342250414
13.Kalutara~KALU/SIRI PREMARATHANA MULIKA PIRIVENA            ~UDUGODA, BANDARAGAMA                               ~~0382290870
13.Kalutara~KALU/SRI SARANANKARA MULIKA PIRIVENA              ~SRI/ VIWEKARAMA PURANA VIHARAYA, MEEGAHATHENNA     ~~0342284004
13.Kalutara~KALU/SRI DEWANANDHA MULIKA PIRIVENA               ~PIRIVENA ROAD, PINWATHTHA, PANADURA                 ~~
13.Kalutara~KALU/SIRISUMANA MULIKA PIRIVENA~GANEWATHTHA PURANA  VIHARAYA DELDUWA WADDUWA~~
13.Kalutara~KALU/SRI SANGHAMITHTHA SEELAMATHA EDUCATION CENTER~KORALAIMA, GONAPOLA JUNCTION~~0342257414/ 0712190325/ 0727400405
13.Kalutara~KALU/ DHAMMASHANTHI SEELAMATHA EDUCATION CENTER~KANNAWILA, HORANA~~0343300332/ 0776072359
21.Kandy~SRI SARANANDA VIDYATHANA PIRIVENA                 ~PERADENIYA                                        ~~0812385360
21.Kandy~CP/KN/GP SIRI SUMANAJOTHI VIDYATHANAYA PIRIVENA   ~SRI BODIRAJARAMAYA RANTHATIYA GAMPOLA             ~~0812352343
21.Kandy~CP/KN/GANGAWATA/SRI BARATHI VIDYATHANAYA          ~SRI KUSUMACHETHIYARAMAYA, GODAGANDENIYA PERADENIYA ~~0812283310
21.Kandy~KN/SRI SANGANANDA VIDYATHANA PIRIWENA             ~HENEGAMA - HARANKAHAVA                            ~~0812461788
21.Kandy~CP/KN/KATU SRI SIDDARODAYA VIDYATHANA PIRIVENA    ~SRI BODIRAJARAMAYA MADAGODA GALAGEDARA            ~~0812461209
21.Kandy~CP/KN/KATU/ VIDUMINA PIRIVEN VIDYATHANAYA         ~VIDUMINA PIRIVEN VIHARAYA, MARATHUGODA            ~~0812461204
21.Kandy~CP/KN/GAM/SIRI BUWANEKABA MAHA PIRIVENA           ~BUWANEKABA PARA, SINGHAYAPITIYA, GAMPOLA           ~~0812352492
21.Kandy~CP/KN/DENUWARA SHASTHRALANKARA MAHA PIRIVENA      ~DEERANANDA MAWATHA, HARAMITIGALA, PITIMATHALAWA     ~~0812575290
21.Kandy~CP/KN/DENU/NEGRODKETHTHA MAHA PIRIVENA            ~THALAMBUGALA, GELIOYA                             ~~0812310128
21.Kandy~CP/KAN/DENU/SRI SASANODAYA MAHA PIRIVENA          ~KANDY ALAPALAWALA, HANDESSA KANDY                 ~~0812315482
21.Kandy~CP/DENU/SIRI SUSILA MAHA PIRIVENA                 ~MALIGATHANNA, KETAKUMBURA, KADUGANNAVA             ~~0813134327
21.Kandy~CP/KAN/KAN/VIDYALOKA MAHA PIRIVENA                ~KETAWALA, LEUWLA                                   ~~0812238362
21.Kandy~CP/KAN/SRI SANGARAJA MAHA PIRIVENA                ~SANGARAJA MAWATHA, MALWATHU MAHA VIHARAYA, KANDY   ~~0812224066
21.Kandy~CP/KN/KATU/SRI DARMARAMA PIRIVENA                 ~WALIGODAPOLA, HATHARALIYADDA                       ~~0812464126
21.Kandy~CP/KND/M/SRI VIDYASAGARA MAHA PIRIVENA            ~SIRI SILANSA NAHIMI MAWATHA, HURIKADUWA, MANIKHINNA ~~0812374018
21.Kandy~CP/KAN/GAMP/SIRI DAMMARATHA MAHA PIRIVENA         ~ISIPATHANARAMAYA, BAUWAGAMA, NAWALAPITIYA           ~~0542222415
21.Kandy~CP/KATU/KAN/ SRI SOMANANDA MAHA PIRIVENA          ~IHALAMULLA, ANKUMBURA, KANDY                      ~~0662053770
21.Kandy~CP/KAN/KAND/WIMALADARMA MAHA PIRIVENA             ~78, THISSARAMAYA, DANGOLLA, KANDY                 ~~0812389944
